1.0,1,425.23,352.08,50.07,128.99,1,-1,-1,-1
1.0,2,1176.80,236.61,48.65,81.31,1,-1,-1,-1
1.0,3,280.41,166.28,27.17,57.00,1,-1,-1,-1
1.0,4,1263.95,179.47,30.80,77.15,1,-1,-1,-1
1.0,5,953.15,145.39,26.87,67.67,1,-1,-1,-1
1.0,6,752.00,163.44,29.02,69.05,1,-1,-1,-1
1.0,7,1134.76,419.30,44.94,139.35,1,-1,-1,-1
1.0,8,650.01,152.97,26.98,71.19,1,-1,-1,-1
1.0,9,916.81,150.31,27.97,61.32,1,-1,-1,-1
1.0,10,694.36,124.00,21.77,47.55,1,-1,-1,-1
1.0,11,1241.89,369.03,122.78,132.31,1,-1,-1,-1
1.0,12,823.77,265.35,46.35,86.93,1,-1,-1,-1
1.0,13,1208.93,277.30,45.10,88.45,1,-1,-1,-1
1.0,14,657.81,116.63,21.54,51.63,1,-1,-1,-1
2.0,1,432.44,351.41,42.81,130.80,1,-1,-1,-1
2.0,2,1177.50,238.61,47.51,79.17,1,-1,-1,-1
2.0,3,279.85,165.83,27.00,57.58,1,-1,-1,-1
2.0,4,1265.50,179.16,29.58,77.59,1,-1,-1,-1
2.0,5,953.34,144.87,25.01,68.08,1,-1,-1,-1
2.0,6,751.21,163.15,29.14,69.39,1,-1,-1,-1
2.0,7,1133.42,417.50,45.82,140.32,1,-1,-1,-1
2.0,8,647.01,151.56,28.61,72.16,1,-1,-1,-1
2.0,9,915.76,150.67,28.70,60.70,1,-1,-1,-1
2.0,10,691.99,124.31,22.27,47.47,1,-1,-1,-1
2.0,11,1238.07,379.23,124.90,124.74,1,-1,-1,-1
2.0,12,823.47,263.06,47.17,90.57,1,-1,-1,-1
2.0,13,1213.59,277.01,40.70,86.79,1,-1,-1,-1
2.0,14,655.52,116.55,21.47,50.92,1,-1,-1,-1
2.0,15,1692.14,243.15,45.28,90.34,1,-1,-1,-1
3.0,1,441.79,354.91,36.08,126.50,1,-1,-1,-1
3.0,2,1178.97,240.05,44.86,77.85,1,-1,-1,-1
3.0,3,279.40,165.81,27.32,58.61,1,-1,-1,-1
3.0,4,1268.03,179.12,27.28,77.18,1,-1,-1,-1
3.0,5,954.71,144.60,22.09,68.17,1,-1,-1,-1
3.0,6,753.80,162.89,26.41,69.64,1,-1,-1,-1
3.0,7,1132.09,416.62,49.15,141.68,1,-1,-1,-1
3.0,8,644.44,151.59,29.20,72.46,1,-1,-1,-1
3.0,9,914.68,150.68,29.98,60.51,1,-1,-1,-1
3.0,10,687.47,124.48,24.40,47.68,1,-1,-1,-1
3.0,11,1235.36,379.49,125.07,123.56,1,-1,-1,-1
3.0,12,825.31,261.00,46.66,87.90,1,-1,-1,-1
3.0,13,1210.88,277.45,44.69,86.72,1,-1,-1,-1
3.0,14,651.14,116.05,25.12,52.11,1,-1,-1,-1
3.0,15,1691.89,243.79,44.87,88.55,1,-1,-1,-1
4.0,1,443.84,350.45,38.97,132.56,1,-1,-1,-1
4.0,2,1176.24,242.33,45.27,75.90,1,-1,-1,-1
4.0,3,279.13,165.99,26.48,58.38,1,-1,-1,-1
